"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"2837",2,3,199,77,"Brachyteles_arachnoides",3.8,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"2838",2,3,199,78,"Brachyteles_hypoxanthus",3.8,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"2839",2,3,189,79,"Solimoea_acrensis",10.67,7.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2840",2,3,200,80,"Chilecebus_carrascoensis",21.51,20.09,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"2841",2,3,200,81,"Mohanamico_hershkovitzi",21.51,12.5,"AI","A","A","AI -> A","allopatry","–","–","–","","",""
"2842",2,3,120,82,"Lagonimico_conclucatus",26.69,12.5,"AI","A","A","AI -> A","subset_sympatry","–","–","–","","",""
"2843",2,3,211,83,"Callicebus_brunneus",0.03,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2844",2,3,211,84,"Callicebus_hoffmannsi",0.03,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2845",2,3,210,85,"Callicebus_moloch",2.21,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"2846",2,3,209,86,"Callicebus_cupreus",2.32,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"2847",2,3,212,87,"Callicebus_caligatus",1.33,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2848",2,3,212,88,"Callicebus_donacophilus",1.33,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2849",2,3,214,89,"Callicebus_coimbrai",1.99,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"2850",2,3,214,90,"Callicebus_personatus",1.99,0,"CE","C","C","CE -> C","allopatry","–","–","–","","",""
"2851",2,3,213,91,"Callicebus_nigrifrons",3.4,0,"BCE","B","BC","BCE -> B","allopatry","B -> BC","dispersal","0.85","","","d"
"2852",2,3,215,92,"Callicebus_lugens",3.1,0,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","1.23","","","d"
"2853",2,3,215,93,"Callicebus_torquatus",3.1,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2854",2,3,205,94,"Miocallicebus_villaviejai",13.42,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2855",2,3,204,95,"Homunculus_patagonicus",16.51,16.41,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"2856",2,3,203,96,"Carlocebus_carmenensis",20.22,17,"AI","I","I","AI -> I","subset_sympatry","–","–","–","","",""
"2857",2,3,217,97,"Insulacebus_toussentiana",1.16,0.01,"J","J","J","J -> J","in_situ_speciation","–","–","–","","",""
"2858",2,3,217,98,"Xenothrix_mcgregori",1.16,0,"J","J","J","J -> J","in_situ_speciation","–","–","–","","",""
"2859",2,3,216,99,"Antillothrix_bernensis",1.32,1.22,"J","J","J","J -> J","in_situ_speciation","–","–","–","","",""
