"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","preparationType","individualCount","coordinatePrecision","geoFlag","scientificNameAuthorship","previousCatalogNumber","typeStatus","relationshipType"
"32","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406605","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","27212","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","18","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"33","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406613","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19669","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","6","28","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin","1",NA,NA,NA,NA,NA,NA
"34","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406606","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","27637","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","19","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"35","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406607","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","27639","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","19","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"36","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","194348","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Heller","670","South America","Peru","Cusco","Rio Comberciato",NA,NA,NA,NA,"1915","9","16","610.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"37","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","194349","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Heller","671","South America","Peru","Cusco","Rio Comberciato",NA,NA,NA,NA,"1915","9","16","610.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"38","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","194350","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Heller","672","South America","Peru","Cusco","Rio Comberciato",NA,NA,NA,NA,"1915","9","16","610.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"39","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","194351","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Heller","673","South America","Peru","Cusco","Rio Comberciato",NA,NA,NA,NA,"1915","9","16",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"40","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","194353","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Heller","675","South America","Peru","Cusco","Rio Comberciato",NA,NA,NA,NA,"1915","9","16",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"41","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","194354","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Heller","689","South America","Peru","Cusco","Rio Comberciato",NA,NA,NA,NA,"1915","9","25","914.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"42","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","267558","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Brundage","14","South America","Ecuador","Pastaza","Rio Tigre",NA,NA,NA,NA,"1937","5","27",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"43","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","267559","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"E. Brundage","128","South America","Ecuador",NA,"Sarajacu, Rio Bobonaza",NA,NA,NA,NA,"1937","10","16",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"44","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372749","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","01631","South America","Venezuela","Falcon","Urama, 19 Km NW Urama, Km 40","-68.4","10.62",NA,NA,"1965","10","14","25.0",NA,NA,"068 24 -- W","10 37 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"45","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372752","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","02549","South America","Venezuela","Trujillo","La Ceiba, 52 Km WNW Valera","-71.05","9.5",NA,NA,"1965","7","3","29.0",NA,NA,"071 03 -- W","09 30 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"46","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372753","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","02550","South America","Venezuela","Trujillo","La Ceiba, 52 Km WNW Valera","-71.05","9.5",NA,NA,"1965","9","3","29.0",NA,NA,"071 03 -- W","09 30 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"47","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372755","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","03528","South America","Venezuela","Trujillo","Valera, 25 Km NW Valera, Nr. Agua Santa","-70.67","9.53",NA,NA,"1965","10","22","90.0",NA,NA,"070 40 -- W","09 32 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"48","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372756","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","03609","South America","Venezuela","Trujillo","La Ceiba, 52 Km WNW Valera","-71.05","9.5",NA,NA,"1965","10","29","29.0",NA,NA,"071 03 -- W","09 30 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"49","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372757","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","03610","South America","Venezuela","Trujillo","La Ceiba, 52 Km WNW Valera","-71.05","9.5",NA,NA,"1965","10","29","29.0",NA,NA,"071 03 -- W","09 30 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"50","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443495","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","40938","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","2","9","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"51","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443496","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","40941","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","2","10","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"52","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443497","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","41833","South America","Venezuela","Zulia","El Rosario, 60 Km WNW Encontrados, Boca Del Rio De Oro","-72.77","9.12",NA,NA,"1968","3","17","73.0",NA,NA,"072 46 -- W","09 07 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"53","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443498","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42005","South America","Venezuela","Zulia","El Rosario, 60 Km WNW Encontrados, Boca Del Rio De Oro","-72.77","9.12",NA,NA,"1968","3","19","73.0",NA,NA,"072 46 -- W","09 07 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"54","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443747","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","34481","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","1","18","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"55","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443748","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","41798","South America","Venezuela","Zulia","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","11","37.0",NA,NA,"072 42 -- W","09 11 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
