"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"6267",3,8,162,166,"inNode166",6.58,2.65,"A","A","AG","A -> A","in_situ_speciation","A -> AG","dispersal","2.69","","subset (s)","d"
"6268",3,8,166,167,"inNode167",2.65,1.84,"AG","A","AD","AG -> A","subset_sympatry","A -> AD","dispersal","2.34","","vicariance (v)","d"
"6269",3,8,157,168,"inNode168",20.78,14.4,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6270",3,8,168,169,"inNode169",14.4,12.51,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6271",3,8,169,170,"inNode170",12.51,2.86,"A","A","AF","A -> A","in_situ_speciation","A -> AF","dispersal","4.96","","subset (s)","d"
"6272",3,8,170,171,"inNode171",2.86,1.94,"AF","AF","ADF","AF -> AF","subset_sympatry","AF -> ADF","dispersal","2.19","","subset (s)","d"
"6273",3,8,171,172,"inNode172",1.94,1.33,"ADF","ADF","ADF","ADF -> ADF","subset_sympatry","–","–","–","","vicariance (v)",""
"6274",3,8,119,173,"inNode173",30.54,22.82,"A","A","AI","A -> A","in_situ_speciation","A -> AI","dispersal","24.94","","vicariance (v)","d"
"6275",3,8,173,174,"inNode174",22.82,22.41,"AI","A","A","AI -> A","allopatry","–","–","–","","sympatry (y)",""
"6276",3,8,174,175,"inNode175",22.41,21.35,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6277",3,8,175,176,"inNode176",21.35,12.74,"A","A","AJ","A -> A","in_situ_speciation","A -> AJ","dispersal","15.29","","subset (s)","d"
"6278",3,8,176,177,"inNode177",12.74,12.51,"AJ","AJ","AJ","AJ -> AJ","subset_sympatry","–","–","–","","vicariance (v)",""
"6279",3,8,177,178,"inNode178",12.51,6.49,"AJ","J","BEJ","AJ -> J","allopatry","J -> BEJ","dispersal","12.34","","vicariance (v)","d"
"6280",3,8,178,179,"inNode179",6.49,6.37,"BEJ","BE","BE","BEJ -> BE","allopatry","–","–","–","","vicariance (v)",""
"6281",3,8,179,180,"inNode180",6.37,5.23,"BE","E","CEF","BE -> E","allopatry","E -> CEF","dispersal","5.53","","subset (s)","d"
"6282",3,8,180,181,"inNode181",5.23,4.34,"CEF","CEF","CEF","CEF -> CEF","subset_sympatry","–","–","–","","subset (s)",""
"6283",3,8,181,182,"inNode182",4.34,3.61,"CEF","C","AC","CEF -> C","subset_sympatry","C -> AC","dispersal","4","","vicariance (v)","d"
"6284",3,8,182,183,"inNode183",3.61,2.9,"AC","A","A","AC -> A","allopatry","–","–","–","","sympatry (y)",""
"6285",3,8,183,184,"inNode184",2.9,0.4,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","2.47","","subset (s)","d"
"6286",3,8,184,185,"inNode185",0.4,0.02,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","vicariance (v)",""
