"","starting_range","ending_range","average_n_events","SD","transition_type"
"2479","AE","AE","0.76","1.147","wide sympatry or subset sympatry"
"4755","BJ","B","0.74","0.463","vicariance or subset sympatry or extinction"
"4763","BJ","J","0.73","0.446","vicariance or subset sympatry or extinction"
"13276","ADI","ADI","0.73","1.221","wide sympatry or subset sympatry"
"12568","ADE","ADE","0.72","1.036","wide sympatry or subset sympatry"
"241","A","ACD","0.67","0.779","dispersal"
"2362","AD","ADG","0.66","0.607","dispersal"
"12853","ADG","D","0.66","0.623","vicariance or subset sympatry or extinction"
"16035","AIJ","AI","0.64","0.503","vicariance or subset sympatry or extinction"
"12510","ADE","AD","0.63","0.761","vicariance or subset sympatry or extinction"
"13210","ADI","I","0.63","0.991","vicariance or subset sympatry or extinction"
"15320","AGI","G","0.63","0.597","vicariance or subset sympatry or extinction"
"16027","AIJ","J","0.63","0.485","vicariance or subset sympatry or extinction"
"3524","BC","C","0.62","0.678","vicariance or subset sympatry or extinction"
"191","A","AE","0.58","0.727","dispersal"
"3346","AJ","A","0.58","1.281","vicariance or subset sympatry or extinction"
"3523","BC","B","0.57","0.655","vicariance or subset sympatry or extinction"
"10090","ABD","ABD","0.57","0.728","wide sympatry or subset sympatry"
"259","A","AFG","0.56","0.499","dispersal"
"2642","AF","A","0.55","0.968","vicariance or subset sympatry or extinction"
"9860","ABC","C","0.54","0.642","vicariance or subset sympatry or extinction"
